,#00,#01,#02,#03,#04,#05,#06,#07,#08,#09,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19
0002393759.txt,3.3590863285462825e-05,0.9993617735975764,3.3590863285462825e-05,3.3590863285462825e-05,3.3590863285462825e-05,3.3590863285462825e-05,3.3590863285462825e-05,3.3590863285462825e-05,3.3590863285462825e-05,3.3590863285462825e-05,3.3590863285462825e-05,3.3590863285462825e-05,3.3590863285462825e-05,3.3590863285462825e-05,3.3590863285462825e-05,3.3590863285462825e-05,3.3590863285462825e-05,3.3590863285462825e-05,3.3590863285462825e-05,3.3590863285462825e-05
0002393758.txt,2.6301946344281158e-05,0.9948491941200809,2.6301946344281158e-05,2.6301946344281158e-05,2.6301946344281158e-05,2.6301946344281158e-05,2.6301946344281158e-05,2.6301946344281158e-05,2.6301946344281158e-05,2.6301946344281158e-05,2.6301946344281158e-05,2.6301946344281158e-05,2.6301946344281158e-05,0.0012543019151581272,2.6301946344281158e-05,2.6301946344281158e-05,0.0034493708769082463,2.6301946344281158e-05,2.6301946344281158e-05,2.6301946344281158e-05
0002394547.txt,7.082152974541295e-05,0.9878212498570619,7.082152974541295e-05,7.082152974541295e-05,7.082152974541295e-05,7.082152974541295e-05,7.082152974541295e-05,7.082152974541295e-05,7.082152974541295e-05,7.082152974541295e-05,7.082152974541295e-05,7.082152974541295e-05,7.082152974541295e-05,7.082152974541295e-05,7.082152974541295e-05,7.082152974541295e-05,0.010903962607520867,7.082152974541295e-05,7.082152974541295e-05,7.082152974541295e-05
0002392136.txt,6.146281499709679e-05,0.9988322065150553,6.146281499709679e-05,6.146281499709679e-05,6.146281499709679e-05,6.146281499709679e-05,6.146281499709679e-05,6.146281499709679e-05,6.146281499709679e-05,6.146281499709679e-05,6.146281499709679e-05,6.146281499709679e-05,6.146281499709679e-05,6.146281499709679e-05,6.146281499709679e-05,6.146281499709679e-05,6.146281499709679e-05,6.146281499709679e-05,6.146281499709679e-05,6.146281499709679e-05
0002392122.txt,3.72162262748812e-05,0.8217686936364874,0.10751611460607978,3.72162262748812e-05,3.72162262748812e-05,3.72162262748812e-05,3.72162262748812e-05,0.07008251591076008,3.72162262748812e-05,3.72162262748812e-05,3.72162262748812e-05,3.72162262748812e-05,3.72162262748812e-05,3.72162262748812e-05,3.72162262748812e-05,3.72162262748812e-05,3.72162262748812e-05,3.72162262748812e-05,3.72162262748812e-05,3.72162262748812e-05
0002392042.txt,0.0001477104874458267,0.9766992948112081,0.0001477104874458267,0.0001477104874458267,0.0001477104874458267,0.0001477104874458267,0.0001477104874458267,0.02064191641476668,0.0001477104874458267,0.0001477104874458267,0.0001477104874458267,0.0001477104874458267,0.0001477104874458267,0.0001477104874458267,0.0001477104874458267,0.0001477104874458267,0.0001477104874458267,0.0001477104874458267,0.0001477104874458267,0.0001477104874458267
0002394433.txt,3.607503607521043e-05,0.9895403037903542,3.607503607521043e-05,3.607503607521043e-05,3.607503607521043e-05,3.607503607521043e-05,3.607503607521043e-05,3.607503607521043e-05,3.607503607521043e-05,3.607503607521043e-05,3.607503607521043e-05,3.607503607521043e-05,3.607503607521043e-05,3.607503607521043e-05,0.00981034556029218,3.607503607521043e-05,3.607503607521043e-05,3.607503607521043e-05,3.607503607521043e-05,3.607503607521043e-05
0002392056.txt,2.6795284030312714e-05,0.6883506672117214,2.6795284030312714e-05,2.6795284030312714e-05,2.6795284030312714e-05,2.6795284030312714e-05,2.6795284030312714e-05,0.31116701767573307,2.6795284030312714e-05,2.6795284030312714e-05,2.6795284030312714e-05,2.6795284030312714e-05,2.6795284030312714e-05,2.6795284030312714e-05,2.6795284030312714e-05,2.6795284030312714e-05,2.6795284030312714e-05,2.6795284030312714e-05,2.6795284030312714e-05,2.6795284030312714e-05
0002392081.txt,3.428179636641708e-05,0.9993486458690383,3.428179636641708e-05,3.428179636641708e-05,3.428179636641708e-05,3.428179636641708e-05,3.428179636641708e-05,3.428179636641708e-05,3.428179636641708e-05,3.428179636641708e-05,3.428179636641708e-05,3.428179636641708e-05,3.428179636641708e-05,3.428179636641708e-05,3.428179636641708e-05,3.428179636641708e-05,3.428179636641708e-05,3.428179636641708e-05,3.428179636641708e-05,3.428179636641708e-05
0002394382.txt,3.469812630139221e-05,0.9993407356002737,3.469812630139221e-05,3.469812630139221e-05,3.469812630139221e-05,3.469812630139221e-05,3.469812630139221e-05,3.469812630139221e-05,3.469812630139221e-05,3.469812630139221e-05,3.469812630139221e-05,3.469812630139221e-05,3.469812630139221e-05,3.469812630139221e-05,3.469812630139221e-05,3.469812630139221e-05,3.469812630139221e-05,3.469812630139221e-05,3.469812630139221e-05,3.469812630139221e-05
0002392095.txt,3.30360092503814e-05,0.9973076742435021,3.30360092503814e-05,3.30360092503814e-05,3.30360092503814e-05,3.30360092503814e-05,3.30360092503814e-05,3.30360092503814e-05,3.30360092503814e-05,3.30360092503814e-05,0.0020976775899912543,3.30360092503814e-05,3.30360092503814e-05,3.30360092503814e-05,3.30360092503814e-05,3.30360092503814e-05,3.30360092503814e-05,3.30360092503814e-05,3.30360092503814e-05,3.30360092503814e-05
